source,date,title,url,primary_use_case,primary_use_case_confidence,ai_use_cases,sentiment,ai_mention_count,ai_mentions,title_ai_mention_count,title_ai_mentions,word_count,summary,AI
"DataCentreReview","2025-09","An ageing fibre backbone could put the UK’s AI future at risk","https://datacentrereview.com/2025/09/an-ageing-fibre-backbone-could-put-the-uks-ai-future-at-risk/","Editorial framing Neos research as a broader warning on AI competitiveness","High","AI data-centre interconnect; backhaul for AI-enabled services; AI-driven network modernisation","Cautious","4","AI; AI future; artificial intelligence; AI competitiveness","1","AI","1000","This opinion-style article referencing Neos’ research argues that much of the UK’s fibre backbone was not designed for today’s dense, low-latency AI traffic patterns. It warns that without accelerated modernisation and resilience improvements, AI-heavy industries may favour other markets. Policy implications such as planning reform and incentives are explored, with the author arguing that AI strategy and fibre strategy must be aligned if the UK wants to retain leadership in AI, cloud and digital services.","Yes"
"Freshwave","2025-01-20","Freshwave plants portable 5G in agritech innovation at the National Robotarium","https://freshwavegroup.com/freshwave-plants-portable-5g-in-agritech-innovation-at-the-national-robotarium/","Deploying a portable 5G private network to support robotics and AI agritech R&D","High","Robotics and AI for agritech; real-time video and 3D mapping; AI-assisted precision agriculture; co-bot human-robot operations","Positive","4","AI; artificial intelligence; robotics and AI; AI-assisted entrepreneurship","1","artificial intelligence (AI)","1200","Freshwave describes a collaboration with the National Robotarium, a robotics and AI centre in Edinburgh, to deploy a portable 5G private network. The network supports Boston Dynamics’ Spot robot collecting real-time video, 3D maps and infrared data in agricultural settings, enabling AI-driven insights into productivity and sustainability. Private 5G is presented as a flexible backbone for AI and robotics experiments, highlighting rural connectivity benefits and future multi-robot agritech scenarios.","Yes"
"Mobile World Live","2025-01-20","Freshwave tests private 5G agritech credentials","https://www.mobileworldlive.com/europe/freshwave-tests-private-5g-agritech-credentials/","Demonstrating private 5G for AI-enabled agricultural robotics","High","AI-based analysis of agritech sensor data; robotic inspection using AI; real-time analytics enabled by 5G","Positive","3","AI; AI-powered robotics; artificial intelligence","0","", "700","Mobile World Live reports that Freshwave’s portable private 5G network is being used at the National Robotarium to test Boston Dynamics’ Spot robot for agricultural use cases. The piece emphasises live video, 3D mapping and environmental sensing to improve productivity and sustainability, enabled by low-latency connectivity that supports AI-driven analysis. It frames private 5G as unlocking new commercial agritech opportunities, with Freshwave portrayed as a neutral host entering AI-enhanced verticals.","Yes"
"Robotics & Automation Magazine","2025-01-21","Freshwave plants portable 5G in agritech at the National Robotarium","https://www.roboticsandautomationmagazine.co.uk/news/life-sciences/freshwave-plants-portable-5g-in-agritech-at-the-national-robotarium.html","Using 5G and AI to enhance robotics R&D and precision agriculture","High","AI capabilities at robotics centre; AI-driven precision farming; multi-robot AI scenarios; AI for crop monitoring","Positive","4","AI; artificial intelligence (AI); AI capabilities; AI applications","1","artificial intelligence (AI)","900","This article reiterates the Freshwave–National Robotarium partnership, emphasising that the portable 5G network enhances the centre’s robotics and AI capabilities. It describes how Spot streams video, builds 3D maps and gathers infrared data for AI-driven precision farming tasks such as crop monitoring and environmental assessment. Portability, quick deployment and use of dedicated spectrum are highlighted, and the MoU is presented as a long-term collaboration to co-develop AI and robotics use cases over private 5G.","Yes"
"AgritechFuture","2025-01","Freshwave and National Robotarium launch 5G-powered agritech robot","https://agritechfuture.com/robotics-automation/freshwave-and-national-robotarium-launch-5g-powered-agritech-robot/","Publicising AI-enabled agritech robotics trials over Freshwave’s private 5G","Medium","AI-based agritech robotics; AI for commercial agritech projects; AI analysis of farm data","Positive","3","AI; artificial intelligence; robotics and AI","1","AI","600","AgritechFuture’s piece frames the initiative as a 5G-powered agritech robot launch. It notes that Freshwave’s portable private 5G network underpins trials in which Spot collects real-time field data to support AI-driven applications for commercial agritech customers. The article stresses that integrating robotics, AI and reliable wireless connectivity can unlock new business models in precision agriculture and help build UK capabilities in AI-enabled farming technologies.","Yes"
"Engineering Applications of Artificial Intelligence","2025","Anomaly detection in offshore open radio access network using long short-term memory models on a novel AI-driven cloud-native data platform","https://www.sciencedirect.com/science/article/pii/S0952197625022821","Applying LSTM-based AI models for anomaly detection in offshore Open RAN networks","High","AI-driven anomaly detection in O-RAN; LSTM time-series models; AI-backed cloud-native data platform; predictive maintenance","Positive","5","AI; AI-driven; artificial intelligence; anomaly detection; machine learning models","1","AI-driven","9000","This peer-reviewed paper, co-authored by Boldyn Networks and academic partners, presents a cloud-native AI platform for monitoring offshore Open RAN deployments. Long short-term memory models are trained on network telemetry to detect anomalies in real time, reducing manual troubleshooting and potential outages. The platform is designed to scale across neutral-host private networks and integrate with Boldyn’s data pipeline and O-RAN architecture. Results show improved operational efficiency and customer experience, underlining AI’s role in automating complex RAN environments.","Yes"
"FiberInsider","2025-02","Tech News Roundup: Boldyn, DataBank, EXA, and Macquarie Telecom","https://fiberinsider.com/tech-news-roundup-boldyn-databank-exa-and-macquarie-telecom/","Highlighting Boldyn’s AI- and ML-enabled cloud and data platform","Medium","AI- and ML-driven data processing; AI-assisted automation for enterprise customers; AI-enhanced cloud services","Positive","3","AI; artificial intelligence; machine learning","1","artificial intelligence","700","In a multi-company roundup, FiberInsider describes a Boldyn platform that leverages artificial intelligence and machine learning to help enterprises manage data and processes more efficiently. The article frames Boldyn’s neutral-host and cloud capabilities as increasingly software- and analytics-driven, enabling productivity gains and cost savings for customers. Specific AI techniques are not detailed but the messaging positions Boldyn as embedding AI and ML into its solutions rather than just providing passive connectivity.","Yes"
"The Network Media Group","2025-03","The convergence of AI, GenAI, and Open RAN: Driving automation, orchestration, and monetization in next-gen networks","https://www.thenetworkmediagroup.com/blog/the-convergence-of-ai-genai-and-open-ran-driving-automation-orchestration-and-monetization-in-next-gen-networks-llfw3","Industry panel discussion on AI and generative AI in Open RAN with Boldyn as neutral host","Medium","AI and generative AI for RAN optimisation; AI-driven real-time analytics in Open RAN; AI for network automation and monetisation","Positive","5","AI; artificial intelligence; generative AI; AI-driven automation; AI analytics","2","AI; GenAI","1300","This panel recap describes how AI and generative AI will shape Open RAN deployments, featuring speakers from Boldyn Networks and other vendors. Participants discuss using AI-driven real-time analytics and RAN Intelligent Controllers to tune performance, reduce energy use and open new monetisation models via xApps and rApps. Boldyn is cast as a major investor in Open RAN and as a neutral host using AI-based automation to manage multi-operator networks and complex venues.","Yes"
"Wireless Infrastructure Group","2025-02-05","Blog: Top 3 mobile connectivity trends for 2025: What businesses need to know","https://www.wirelessinfrastructure.com/insights/blog-top-3-mobile-connectivity-trends-for-2025-what-businesses-need-to-know/","Framing 5G-enabled indoor connectivity as an enabler of AI-equipped workspaces","Medium","AI-powered workplace applications; AI integrated with AR and VR and real-time collaboration; future AI and IoT in smart buildings","Positive","3","AI; artificial intelligence (implied); AI integration with AR and VR","1","AI","1300","WIG’s trend piece highlights the rise of 5G-enabled workspaces, arguing that robust indoor mobile connectivity is now core infrastructure. It notes that 5G enables seamless integration of AI, augmented reality, virtual reality, real-time collaboration and automation, positioning AI as a key workload type their networks must support. The article promotes private networks and enhanced in-building coverage for smart building use cases, with AI and analytics assumed to sit on top of high-quality mobile connectivity.","Yes"
"Zayo","2025-07-15","Zayo Levels Up Its AI-Ready Infrastructure with New Routes and 100% 400G Enablement","https://www.zayo.com/newsroom/zayo-levels-up-its-ai-ready-infrastructure-with-new-routes-and-100-400g-enablement/","Building long-haul dark fibre and 400G core specifically for AI workloads","High","Purpose-built AI long-haul routes; AI-driven traffic modelling; 400G backbone for AI training and inference","Positive","5","AI; AI-ready; AI-driven workloads; AI demand; artificial intelligence","1","AI-Ready","1400","Zayo announces that it has broken ground on several purpose-built-for-AI long-haul dark fibre routes in North America and completed 400G enablement of its core network. The release stresses that AI workloads demand ultra-high bandwidth and low latency between training and inference sites and says Zayo used AI-driven market modelling to choose new corridors. Zayo is positioned as delivering the backbone for an AI and bandwidth-driven future, with route details between key US markets.","Yes"
"Zayo & Equinix","2025-09-25","Zayo and Equinix Set the Standard with the AI Infrastructure Blueprint","https://www.zayo.com/newsroom/zayo-and-equinix-set-the-standard-with-the-ai-infrastructure-blueprint/","Defining a reference architecture for AI networks and data centres","High","Network design for AI training and inference; AI interconnection at Equinix hubs; AI-ready private connectivity patterns","Positive","6","AI; AI Infrastructure Blueprint; AI at scale; AI communication infrastructure; generative AI providers; AI ecosystem","2","AI; AI Infrastructure","1700","This joint announcement unveils an AI Infrastructure Blueprint describing how neocloud and AI providers should connect training clusters, inference sites and enterprises using Zayo fibre and Equinix data centres. It outlines validated reference designs and emphasises low-latency, high-capacity private connectivity for AI workloads. The document aims to create a shared language for AI networking, helping customers scale generative AI deployments while reducing design complexity and time to market.","Yes"
"Zayo","2025","Data Centers, Generative AI, and an Era of Accelerated Change","https://www.zayo.com/wp-content/uploads/Zayo-AI-Data-Center-Report.pdf","Analysing how generative AI changes data-centre and connectivity design","High","AI training clusters; AI inference clusters; bandwidth needs for large AI models; AI-driven data-centre siting","Positive","6","generative AI; AI training; AI inference; AI models; artificial intelligence; AI clusters","2","Generative AI; AI","7000","This whitepaper explains how generative AI architectures, split into training and inference clusters, fundamentally differ from traditional cloud workloads. It describes the extreme east-west bandwidth, low latency and power density required to train large models and argues that network and data-centre design must adapt with dense fibre, new topologies and proximity to power sources. Zayo uses this analysis to justify large-scale fibre expansion and to position itself as a strategic partner for hyperscalers building AI campuses.","Yes"
"Zayo","2025-05-29","What Neoclouds Are and Why They Matter to Enterprises","https://www.zayo.com/resources/what-neoclouds-are-and-why-they-matter-to-enterprises/","Marketing Zayo’s role in serving neoclouds built for AI and ML workloads","High","AI-first cloud architectures; GPU and accelerator-backed AI services; AI workloads over Zayo networks","Positive","5","AI; artificial intelligence; machine learning; AI-first architecture; AI workloads","1","AI","1800","Zayo introduces the concept of neoclouds, cloud providers specialised for AI and machine learning, explaining how they combine GPUs, AI-first architectures and intelligent orchestration. The blog argues that neoclouds need scalable, low-latency fibre connectivity to link customers, clouds and data centres and sets out how Zayo’s network footprint and 400G backbone support these AI workloads. AI is presented as a key driver of the next wave of cloud and connectivity demand.","Yes"
"DataCenterDynamics","2025-06-11","Zayo: fiber rollout paves the way for AI to succeed","https://www.datacenterdynamics.com/en/news/zayo-fiber-rollout-paves-the-way-for-ai-to-succeed/","Industry analysis of Zayo’s 5,000-route-mile AI-driven expansion","High","Long-haul fibre for AI training; interconnect for AI inference edges; AI-related data-centre connectivity","Positive","4","AI; AI workloads; AI training; AI demand","1","AI","1100","DCD reports that Zayo plans to build 5,000 additional long-haul fibre miles specifically to support AI workloads. Executives explain that AI training clusters are gravitating to locations with available power, often away from traditional metros, and that high-count dark fibre is needed to connect them. The article underscores the monetisation opportunity in serving AI traffic and notes similar potential around AI inference near metros, portraying Zayo as doubling down on AI-centric routes.","Yes"
"Data Center Frontier","2025-04","Zayo’s Fiber Bet: Scaling Long-Haul and Metro Networks for AI Data Centers","https://www.datacenterfrontier.com/network/article/55274499/zayos-fiber-bet-scaling-long-haul-and-metro-networks-for-ai-data-centers","Explaining how Zayo’s network strategy targets AI data-centre demand","High","AI data-centre interconnect; AI-driven long-haul builds; low-latency links for training and federated learning","Positive","6","AI; AI-driven demand; AI workloads; AI data centers; AI growth; artificial intelligence","1","AI","1500","This feature frames Zayo as executing one of the largest fibre expansions explicitly in response to AI-driven data-centre demand. It discusses potential bandwidth shortages without new routes, emphasising that AI training, real-time inference and federated learning require ultra-low-latency, high-capacity connectivity. The article compares Zayo’s strategy with competitors and quotes leadership citing large AI-related deal pipelines, positioning Zayo as a go-to provider for AI data-centre interconnect.","Yes"
"TM Forum / Inform","2025-03","AI monetization starts with good data governance","https://inform.tmforum.org/features-and-opinion/ai-monetization-starts-with-good-data-governance","Showcasing Zayo’s internal use of AI and ML platforms for cost and revenue optimisation","Medium","Data science and ML for network cost optimisation; AI-based revenue insights; AI tooling for analytics","Positive","4","AI; artificial intelligence; machine learning; data science","0","", "1400","In a broader piece on data governance, Zayo is cited as a case study using modern data platforms to support data science, machine learning and AI initiatives. It explains that Zayo employs these tools to identify cost-saving opportunities and new revenue streams, with automated pipelines feeding analytics models. This shows Zayo not only building infrastructure for AI but also applying AI and ML internally to improve financial and operational performance.","Yes"
"ctol.digital","2025-05","Marisa Trisolino Named CEO of euNetworks as Company Shifts Focus to AI Fiber Expansion","https://www.ctol.digital/news/marisa-trisolino-named-eunetworks-ceo-ai-fiber-expansion/","Leadership and strategy shift toward AI-driven fibre expansion","Medium","Fibre footprint to support AI and generative AI; AI-related bandwidth demand; AI-era capex strategy","Positive","3","AI; AI-driven; artificial intelligence","1","AI","800","This piece reports on Marisa Trisolino becoming CEO of euNetworks, describing the company’s strategy as AI-driven fibre expansion after a recapitalisation. It emphasises euNetworks’ dense city fibre networks and their importance for generative AI and cloud workloads. While detailed project information is limited, the article suggests that future investments and route planning increasingly factor in AI data-centre demand, positioning euNetworks as a key infrastructure player in Europe’s AI ecosystem.","Yes"
"TelecomRamblings","2025-10","TELCABLES EUROPE COLLABORATES WITH euNETWORKS TO ENABLE CUSTOMERS TO EXPAND THEIR EUROPEAN NETWORK REACH","https://newswire.telecomramblings.com/2025/10/telcables-europe-collaborates-with-eunetworks-to-enable-customers-to-expand-their-european-network-reach/","Partnership to provide AI-ready pan-European connectivity via euNetworks","Medium","AI-ready connectivity; scalable bandwidth for AI-era workloads; AI and data-centre interconnect between Europe, Americas and Africa","Positive","3","AI-ready; AI-era demand; artificial intelligence (implied)","1","AI-ready","700","The joint announcement explains that TelCables Europe will use euNetworks’ footprint of hundreds of on-net data centres to extend services across Europe. euNetworks’ CEO highlights accelerating demand for scalable, AI-ready connectivity, indicating that AI and data-intensive workloads are key drivers. Together, the firms aim to provide high-capacity, resilient routes linking Europe with the Americas and Africa, targeting cloud, AI and digital-transformation use cases.","Yes"
"The Tech Capital","2025-11","European fibrecos deploy new routes to avoid bottlenecks, boost diversity in time for AI network demand","https://thetechcapital.com/european-fibrecos-deploy-new-routes-to-avoid-bottlenecks-boost-diversity-in-time-for-ai-network-demand/","Contextualising euNetworks’ new long-haul routes as part of AI-driven capacity planning","Medium","New diverse routes for AI network demand; fibre diversity for AI traffic; AI-era congestion avoidance","Positive","3","AI; AI network demand; artificial intelligence","1","AI","700","This article notes that several fibrecos, including euNetworks, are launching new long-distance routes in Europe to boost diversity in time for AI network demand. AI-related traffic growth is cited as a key reason to build additional paths and avoid bottlenecks, with euNetworks among the companies investing in new corridors. While detailed route information is sparse, AI is clearly identified as a primary demand driver for these network expansions.","Yes"
"NetworkingPlus","2025-10-06","Cornerstone adopts Vyntelligence’s AI technology to accelerate tower deployment","https://networkingplus.co.uk/news-details?itemid=8167","Using AI-powered video intelligence to speed tower site deployment and reduce field visits","High","AI-powered Agentic Video Intelligence for site surveys; AI-assisted quality checks; AI-driven workflow automation for tower rollout","Positive","4","AI-powered; AI technology; artificial intelligence; Agentic Video Intelligence","1","AI","800","NetworkingPlus reports that Cornerstone has adopted Vyntelligence’s AI-powered Agentic Video Intelligence platform. Field engineers capture short guided videos instead of lengthy forms, with AI extracting structured information, checking compliance and flagging issues. The move is pitched as accelerating new cell-tower deployments, reducing site revisits and cutting operational costs across Cornerstone’s large site portfolio. AI is central as the mechanism that turns unstructured video into actionable deployment insights.","Yes"
"ISPreview UK","2025-09-29","Mobile Infrastructure Firm Cornerstone Adopts AI to Boost UK Rollout","https://www.ispreview.co.uk/index.php/2025/09/mobile-infrastructure-firm-cornerstone-adopts-ai-to-boost-uk-rollout.html","Public-facing explanation of Cornerstone’s AI rollout for mast deployment","High","AI for speeding mast rollout; AI-based video surveys; AI-assisted planning and cost reduction","Positive","4","AI; AI technology; artificial intelligence; AI-powered video surveys","1","AI","900","ISPreview explains to a broadband-focused audience how Cornerstone is using Vyntelligence’s AI platform to speed up rollout of new mobile masts. AI analyses short field videos to capture site conditions, validate work and automate reporting, cutting time and cost versus traditional survey methods. The article notes that Cornerstone’s adoption is at scale across its tower network, linking AI directly to faster mobile coverage improvements and fewer aborted visits.","Yes"
"BT","2024-12-12","BT Group leans on AI to transform customer service experience","https://newsroom.bt.com","Generative-AI powered customer-service transformation across contact centres and field operations","High","Generative AI call summarisation; AI triage and routing; AI knowledge suggestions; digital assistant; internal Copilot-style tools","Positive","5","AI; artificial intelligence; generative AI; AI-powered; AI-driven","1","AI","1200","BT details a multi-pronged AI programme for customer service, including generative AI summarisation tools that write call notes, AI-driven routing and knowledge suggestions and digital assistants in customer apps. Internal staff use Copilot-style tooling to automate repetitive tasks. BT positions AI as augmenting, not replacing, agents while reporting faster handling times and better customer satisfaction from pilots, with plans to scale across contact centres and field operations.","Yes"
"TeckNexus","2025-04-05","BT Group’s Generative AI Strategy: A New Era in Telecommunications","https://tecknexus.com","Enterprise-wide generative-AI platform for software engineering, legal, procurement and operations","High","GenAI Gateway orchestration; LLM-based code assistance; document summarisation; contract analysis; enterprise search; engineering-note summarisation","Positive","6","AI; artificial intelligence; generative AI; genAI; large language models; machine learning","1","Generative AI","1600","TeckNexus describes BT’s GenAI Gateway, an internal platform that centralises access to multiple foundation models from several providers. It standardises security, guardrails, billing and data access so teams can rapidly deploy generative-AI applications for coding, Openreach job-note summarisation, legal document review and enterprise search. The article stresses responsible AI governance and BT’s goal to scale generative AI across business units while controlling risk and cost.","Yes"
"ServiceNow","2025-11-25","BT partners with ServiceNow to turn bold AI thinking into business transformation","https://www.servicenow.com","AI-driven IT and service-operations automation using ServiceNow’s AI platform","High","AIOps for incident prediction; AI-assisted case summarisation; workflow automation; AI-driven self-service for employees","Positive","5","AI; artificial intelligence; AIOps; AI-powered; machine learning","1","AI","1400","This ServiceNow case study outlines how BT is using the ServiceNow AI Platform and AIOps to automate incident detection, prioritisation and remediation across complex networks and IT estates. AI summarises support cases, recommends resolutions and powers self-service for employees, reducing manual workload for operations teams. BT reports higher automation rates, fewer tickets and faster resolution, positioning AI as an enabler that frees engineers for higher-value tasks.","Yes"
"Reuters","2025-06-15","BT boss Kirkby expects AI to deepen job cuts, FT reports","https://www.reuters.com","AI-enabled automation driving further workforce reduction","Medium","Process automation; AI augmentation of back-office and customer-service functions; potential AI use in network operations","Cautious","3","AI; artificial intelligence; AI-driven automation","1","AI","650","Reuters reports BT CEO Allison Kirkby expects advances in AI to allow deeper job cuts than previously announced, citing productivity gains from automation across the business. She also floats the possibility of spinning off Openreach if its value is not reflected in BT’s market cap. AI is framed both as an efficiency opportunity and as a driver of workforce shrinkage, with limited technical detail but strong emphasis on structural impact and cost reduction.","Yes"
"Reuters","2025-12-04","BT launches sovereign data platform for business and public sector","https://www.reuters.com","UK sovereign cloud and data platform designed to host regulated workloads including AI services","Medium","Secure AI workload hosting; compliant data processing for AI models; sovereignty controls","Neutral","3","AI; artificial intelligence; AI services","0","", "550","BT introduces a sovereign data platform for UK business and public-sector clients, ensuring sensitive data stays within domestic infrastructure while supporting services such as voice, cloud and AI. The platform responds to regulatory and security pressure around AI-driven processing, offering guarantees on data residency and operational control. While the article focuses on sovereignty and compliance rather than specific AI workloads, AI is central to the value proposition and roadmap.","Yes"
"Vodafone","2025-02-13","Vodafone Technology: How AI is helping us to evolve our network","https://careers.vodafone.com","Generative-AI assisted network planning, optimisation and operations","Medium","Generative AI for network design; AI-driven capacity and fault analysis; AI for operational efficiency","Positive","4","AI; artificial intelligence; generative AI; AI-powered","1","AI","700","This careers blog summarises an internal event on how Vodafone is applying generative AI across its network organisation. It highlights experiments using generative AI to analyse network data, support design decisions and accelerate troubleshooting, with the aim of shaping tomorrow’s connectivity. The piece focuses on skills and culture as much as technology, emphasising the need for AI-literate engineers and inviting candidates interested in networks and AI to join Vodafone.","Yes"
"LangChain","2025-03-23","Vodafone transforms data operations with AI using LangChain and LangGraph","https://blog.langchain.dev","AI agents and orchestration for data-engineering and analytics workflows","High","LLM agents for pipeline creation; AI-assisted data discovery; conversational interfaces over data; LangGraph orchestration","Positive","5","AI; artificial intelligence; generative AI; LLMs; AI agents","1","AI","1500","LangChain’s case study explains how Vodafone’s data team built a generative-AI platform using LangChain and LangGraph to reduce manual effort in data pipeline development and analytics. LLM-based agents help engineers explore data sources, generate SQL, scaffold transformation pipelines and answer questions over documentation. This shortens time-to-insight, improves reuse of data assets and supports Vodafone’s ambition to embed AI into data operations at scale.","Yes"
