source,date,title,url,primary_use_case,primary_use_case_confidence,ai_use_cases,sentiment,ai_mention_count,ai_mentions,title_ai_mention_count,title_ai_mentions,word_count,summary,AI,company,strategic_importance,maturity_stage,key_technologies,business_impact
ISPreview UK,2025-01-23,O2 UK Reveals First Insights from AI Granny Created to Waste Scammers Time,https://www.ispreview.co.uk/index.php/2025/01/o2-uk-reveals-first-insights-from-ai-granny-created-to-waste-scammers-time.html,security_fraud_threat,0.95,security_fraud_threat,positive,3,"AI,human-like AI,chatbot",1,AI,62,"O2 UK has deployed a human‑like AI granny chatbot, Daisy, to engage and occupy scam callers, diverting them from customers and protecting revenue. The bot has already chatted with over 1,000 fraudsters, demonstrating its effectiveness in wasting scammers' time and enhancing security.",1,,,,,
ISPreview UK,2025-01-21,New Report Makes the Case for Global and UK Telco Sector to Adopt AI,https://www.ispreview.co.uk/index.php/2025/01/new-report-makes-the-case-for-global-and-uk-telco-sector-to-adopt-ai.html,,0.0,,neutral,1,AI,1,AI,58,,1,,,,,
ISPreview UK,2024-12-12,BT Claim to be Enhancing UK Customer Support via AI Tech and Chatbots,https://www.ispreview.co.uk/index.php/2024/12/bt-claims-to-be-enhancing-uk-customer-support-via-ai-tech-and-chatbots.html,customer_support_experience,0.95,customer_support_experience,positive,3,"AI,Artificial Intelligence,virtual assistant",2,"AI,chatbot",48,"BT Group is deploying an AI‑powered virtual assistant named Aimee to handle up to 60,000 customer conversations per week, aiming to streamline support processes and improve the overall customer experience. The initiative showcases how AI can automate routine interactions and reduce response times in the telecom sector.",1,,,,,
ISPreview UK,2024-11-28,O2 UK Deploying Free AI-Powered Scam Call Detector Service,https://www.ispreview.co.uk/index.php/2024/11/o2-uk-deploys-free-ai-powered-scam-call-detector-service.html,security_fraud_threat,0.95,security_fraud_threat,positive,1,AI,1,AI,55,"O2 UK has partnered with Hiya to launch a free, AI-powered scam call detection service for its customers, aiming to reduce fraud and nuisance calls. The AI system identifies and blocks scam calls in real time, enhancing customer protection and trust.",1,,,,,
ISPreview UK,2024-11-20,Virgin Media O2 UK Offer Free Access to AI Search Engine Perplexity Pro,https://www.ispreview.co.uk/index.php/2024/11/virgin-media-o2-uk-offer-free-access-to-ai-search-engine-perplexity-pro.html,customer_support_experience,0.95,customer_support_experience,positive,1,"AI,AI-powered",1,AI,52,"Virgin Media and O2 are giving their Priority app users free access to the AI‑powered search engine Perplexity Pro for one year, enhancing customer experience by providing advanced AI search capabilities at no extra cost.",1,,,,,
ISPreview UK,2024-11-14,Virgin Media O2 UK Creates AI Granny to Waste Scammers Time UPDATE,https://www.ispreview.co.uk/index.php/2024/11/virgin-media-o2-uk-creates-ai-granny-to-waste-scammers-time.html,security_fraud_threat,0.95,security_fraud_threat,positive,2,"AI,Artificial Intelligence",1,AI,52,"Virgin Media O2 has deployed an AI‑powered virtual granny named Daisy that answers fraudsters’ calls in real time, keeping them on the line and away from customers to waste their time and money. The system uses natural language generation to mimic a human granny, helping protect customers from scams and reduce revenue loss.",1,,,,,
FibreNews,2024-12-18,Infranomics Analyse Latest BDUK OMR Results Showing 3.2 million premises without any commercial plans to build,https://fibrenews.co.uk/infranomics-analise-latest-bduk-omr-results-showing-3-2million-premises-without-any-commercial-plans-to-build/,,0.0,,neutral,1,AI,0,,272,,1,,,,,
big_firm_manual,2024-12-01 00:00:00,BT Group leans on AI to transform customer service experience,,customer_support_experience,0.92,customer_support_experience,positive,1,ai,1,ai,0,"BT Group is deploying Sprinklr’s AI‑powered customer experience platform to transform its customer service. The solution uses NLP‑driven chatbots and sentiment analysis to automate responses and triage issues, aiming to improve response times and overall customer satisfaction.",1,BT,high,deployment,"chatbot,NLP,automation,sentiment analysis,AI","BT is expected to deliver faster, more accurate customer support interactions, boosting satisfaction scores and reducing call center load."
big_firm_manual,2025-11-01 00:00:00,BT to boost use of AI to reverse declines at business unit,,internal_productivity_workforce,0.8,internal_productivity_workforce,positive,1,ai,1,ai,0,"BT is deploying AI to automate manual data processing within a struggling business unit. The initiative uses machine learning and automation to streamline data workflows and reduce human effort. By improving accuracy and speed, the company aims to reverse declining performance and strengthen its competitive position.",1,BT,medium,deployment,"machine learning,automation,predictive analytics","AI-driven automation of manual data processing is expected to improve operational efficiency, reduce errors, and help reverse declining performance in BT's business unit."
big_firm_manual,2024-05-01 00:00:00,BT ramps up AI use to counter hacking threats to business customers | BT | The Guardian,,security_fraud_threat,0.92,security_fraud_threat,positive,1,ai,1,ai,0,"BT is expanding its use of AI-powered security tools to detect and counter hacking threats targeting business customers. The initiative deploys machine learning models for anomaly and intrusion detection across its network, enhancing real‑time threat response. This strengthens customer trust and safeguards BT’s commercial revenue streams.",1,BT,high,deployment,"machine learning,AI,anomaly detection,intrusion detection","Improved protection of business customers against hacking attacks, reducing potential data breaches and revenue loss."
big_firm_manual,2024-10-01 00:00:00,BT’s network platform strategy is rooted in AI,,network_optimization_performance,0.8,network_optimization_performance,positive,1,ai,1,ai,0,"BT is embedding AI into its network platform strategy to enhance operational efficiency. The company applies machine learning and automation to dynamically optimize traffic, manage performance, and predict maintenance needs. This initiative is positioned as a core driver of improved network reliability and cost savings.",1,BT,high,deployment,"machine learning,automation,predictive analytics","AI-driven network optimization is expected to improve service quality, reduce latency, and lower operational costs across BT’s network platform."
big_firm_manual,2024-01-01 00:00:00,Why AI and Agile are at the heart of corporate digital transformation at BT Group - a progress report,,customer_support_experience,0.9,customer_support_experience,positive,1,ai,1,ai,0,"BT is leveraging AI-driven chatbots and natural language processing to transform its customer support operations. By automating routine inquiries and providing instant assistance, the company aims to improve response times, reduce costs, and elevate the overall customer experience.",1,BT,high,deployment,"chatbot,NLP,automation,machine learning","BT is enhancing customer service efficiency and satisfaction by deploying AI-powered chatbots and virtual assistants, reducing response times and freeing human agents for complex issues."
big_firm_manual,2024-06-01 00:00:00,Case study: BT rolls out Amazon’s generative AI developer tool to more coders | Computer Weekly,,internal_productivity_workforce,0.9,internal_productivity_workforce,positive,2,"ai,generative ai",2,"ai,generative ai",0,"BT is rolling out Amazon’s generative AI developer tool—likely CodeWhisperer—to a wider group of internal coders. The tool offers AI‑generated code snippets and suggestions, streamlining development workflows and accelerating project delivery. This initiative enhances internal productivity and supports faster time‑to‑market for BT’s software projects.",1,BT,medium,deployment,"generative AI,LLM,coding assistant,automation","Boosts developer productivity by providing AI-generated code suggestions, reducing development time and errors."
big_firm_manual,2025-06-01 00:00:00,https://www.fierce-network.com/modernization/bt-vodafone-execs-talk-about-training-their-employees-ai,,internal_productivity_workforce,0.9,internal_productivity_workforce,positive,1,ai,1,ai,0,"BT and Vodafone executives discuss using generative AI and large language models to train employees, enhancing internal productivity. The initiative focuses on equipping staff with AI tools and knowledge, aiming to boost workforce efficiency and support broader AI integration across the business.",1,BT,medium,pilot,"generative AI,LLM,machine learning,automation","Improves employee skill sets and productivity by providing AI-driven training, accelerating the organization’s overall AI adoption and efficiency."
big_firm_manual,2024-09-01 00:00:00,How BT worked to avoid GenAI lock-in,,internal_productivity_workforce,0.8,internal_productivity_workforce,positive,1,ai,1,ai,0,"BT has built a model‑agnostic generative AI platform that allows internal teams to use any underlying large language model. By avoiding lock‑in to a single vendor, the platform gives employees flexibility to experiment, integrate, and scale AI solutions across the organization, driving faster innovation and cost efficiency.",1,BT,high,deployment,"generative AI,LLM,model-agnostic platform,API integration","Enables BT employees to deploy and experiment with a variety of generative AI models without vendor lock‑in, accelerating innovation and reducing long‑term costs."
big_firm_manual,2023-07-01 00:00:00,BT Group’s Digital unit accelerates AI use cases and navigates GenAI,,internal_productivity_workforce,0.65,internal_productivity_workforce,positive,1,ai,1,ai,0,"BT Digital has launched an AI Accelerator that allows teams to spin up new AI projects in just 14 days, leveraging generative AI and machine learning. The program speeds internal workflows and supports a range of use cases, from customer support to network optimisation, helping the company stay competitive in a rapidly evolving digital landscape.",1,BT,medium,deployment,"machine learning,generative AI,automation,LLM",Accelerating AI project delivery reduces time‑to‑market and enables faster innovation across BT Digital’s portfolio.
big_firm_manual,2025-11-01 00:00:00,BT and Pindrop Team Up to Combat Voice Fraud with AI | VoIP Review,,security_fraud_threat,0.95,security_fraud_threat,positive,1,ai,1,ai,0,BT is partnering with Pindrop to deploy AI-driven voice fraud detection technology. The system uses machine learning and voice biometrics to identify fraudulent calls and prevent revenue loss. This initiative strengthens BT’s security posture and safeguards customer interactions.,1,BT,high,pilot,"machine learning,voice biometrics,anomaly detection","By detecting and preventing voice fraud in real-time, the AI solution protects BT’s revenue and enhances customer trust."
big_firm_manual,2024-05-01 00:00:00,Comms Business - BT implements AI-enhanced training platform,,internal_productivity_workforce,0.9,internal_productivity_workforce,positive,1,ai,1,ai,0,"BT has rolled out an AI‑enhanced training platform designed to personalize learning experiences for its staff. By leveraging machine learning and adaptive learning techniques, the system tailors content to individual needs, automating training workflows and improving knowledge retention. This initiative supports internal productivity gains and helps the company maintain a skilled, agile workforce.",1,BT,medium,deployment,"machine learning,adaptive learning,automation,NLP","The AI‑enhanced training platform accelerates employee skill acquisition, reduces onboarding time, and boosts overall workforce productivity."
big_firm_manual,2024-06-01 00:00:00,BT Group employs ServiceNow AI to enhance staff operations - Techerati,,internal_productivity_workforce,0.95,internal_productivity_workforce,positive,1,ai,1,ai,0,"BT Group is deploying ServiceNow AI to streamline staff operations, automating routine workflows and enhancing internal productivity. The solution leverages machine learning and workflow automation to reduce manual effort, enabling employees to focus on higher‑value activities and improving overall operational efficiency.",1,BT,medium,deployment,"ServiceNow AI,automation,machine learning,workflow automation","By automating routine staff tasks, BT Group expects to reduce operational overhead and accelerate internal processes, boosting overall employee productivity."
big_firm_manual,,BT partners with Nokia to deliver superior customer experience and improve operational efficiency | Nokia.com,,network_optimization_performance,0.8,network_optimization_performance,positive,0,,0,,0,"BT partners with Nokia to deploy AI‑driven network optimization solutions that monitor and adjust network parameters in real time. By leveraging machine learning and predictive analytics, the partnership aims to deliver superior customer experience and operational efficiency. This initiative positions BT to enhance service quality and reduce operational costs.",1,BT,high,deployment,"machine learning,predictive analytics,network analytics,automation","Enhanced network performance leads to improved customer experience and operational efficiency, reducing downtime and boosting QoS."
big_firm_manual,2023-04-01 00:00:00,"BT Sourced powers procurement transformation with AI, automation and analytics",,internal_productivity_workforce,0.95,internal_productivity_workforce,positive,2,"ai,automation",2,"ai,automation",0,"BT Sourced is deploying an AI‑powered procurement solution that leverages machine learning, automation, and predictive analytics to transform its sourcing processes. By streamlining supplier selection, contract negotiation, and spend analysis, the initiative improves operational efficiency and cost control across the organization.",1,BT,medium,deployment,"machine learning,automation,predictive analytics","The AI‑driven procurement platform reduces cycle times, cuts costs, and enhances supplier selection and contract management for BT."
big_firm_manual,2024-02-01 00:00:00,Globality and BT Announce New Partnership to Unleash the Power of Procurement,,internal_productivity_workforce,0.8,internal_productivity_workforce,positive,0,,0,,0,"BT has partnered with Globality to deploy AI‑driven procurement solutions that automate sourcing, contract analysis and supplier management. By leveraging machine learning and predictive analytics, the initiative aims to accelerate purchase cycles and enhance decision‑making across the organization. This partnership underscores BT’s commitment to improving internal operational efficiency through advanced AI tools.",1,BT,medium,unknown,"automation,machine learning,predictive analytics","Streamlined procurement processes, reducing cycle times and costs while improving supplier insights."
big_firm_manual,2025-07-01 00:00:00,Virgin Media O2 launches new AI tools to supercharge customer services and better help most vulnerable customers - Virgin Media O2,,customer_support_experience,0.95,customer_support_experience,positive,1,ai,1,ai,0,"Virgin Media O2 has introduced AI-powered tools—chatbots and virtual assistants driven by natural language processing—to streamline customer service interactions. These solutions aim to quickly resolve common issues and provide tailored assistance to the most vulnerable customers, underscoring the company’s commitment to improving customer experience and operational efficiency.",1,VMO2,high,deployment,"chatbot,NLP,automation,virtual assistant","Enhanced customer support response times and satisfaction, particularly for vulnerable customers, while reducing operational costs for Virgin Media O2."
big_firm_manual,2025-09-01 00:00:00,Virgin Media O2 deploys AI-powered network intelligence to strengthen broadband service delivery,,network_optimization_performance,0.9,network_optimization_performance,positive,1,ai,1,ai,0,"Virgin Media O2 is deploying AI‑powered network intelligence to monitor and optimize its broadband network in real time. By applying machine learning and predictive analytics, the company can dynamically adjust traffic, balance load, and pre‑empt performance issues, leading to stronger service delivery and higher customer satisfaction.",1,VMO2,high,deployment,"machine learning,predictive analytics,network analytics,AI","Improved broadband performance and reliability, reducing outages and enhancing customer experience."
big_firm_manual,2025-03-01 00:00:00,Transforming Risk Management at Virgin Media O2 with Generative AI,,internal_productivity_workforce,0.8,internal_productivity_workforce,positive,2,"ai,generative ai",2,"ai,generative ai",0,"Virgin Media O2 is deploying generative AI to overhaul its risk management processes. The system automatically generates risk reports and dashboards, leveraging large language models and NLP to transform raw data into actionable insights. This initiative boosts internal productivity and strengthens the organization’s risk oversight.",1,VMO2,high,deployment,"generative AI,LLM,NLP","Automates risk reporting, cutting manual effort and enhancing the speed and accuracy of risk insights for decision makers."
big_firm_manual,2025-02-01 00:00:00,Virgin Media O2 rolls out AI training as part of enhanced learning and development programme to equip employees with critical skills - Virgin Media O2,,internal_productivity_workforce,0.95,internal_productivity_workforce,positive,1,ai,1,ai,0,"Virgin Media O2 is launching an AI training program to upskill staff across the organization. The initiative focuses on machine learning and automation concepts, aiming to boost internal productivity and prepare employees for AI-enabled roles. This investment in workforce development supports the company's broader digital transformation strategy.",1,VMO2,medium,deployment,"machine learning,AI,automation","Enhances employee skill sets in AI, improving internal productivity and enabling future AI-driven initiatives."
big_firm_manual,2025-07-01 00:00:00,Accelerating VMO2’s Network Operations with AI and Automation,,network_optimization_performance,0.75,network_optimization_performance,positive,2,"ai,automation",2,"ai,automation",0,"VMO2 is deploying AI‑driven automation to accelerate its network operations. The solution uses machine learning and predictive analytics to automate routine tasks, detect anomalies, and optimize traffic flow, improving overall network performance and reducing manual intervention.",1,VMO2,medium,deployment,"machine learning,automation,predictive analytics,AI",Enhances network reliability and reduces operational costs by automating routine tasks and optimizing performance in real‑time.
big_firm_manual,2021-07-01 00:00:00,O2 Business launches new AI technology to improve customer experiences in stores - Virgin Media O2,,customer_support_experience,0.9,customer_support_experience,positive,1,ai,1,ai,0,"O2 Business has launched an AI‑powered solution in its physical stores to elevate the customer experience. The technology, likely an AI assistant or chatbot, guides shoppers through product choices and support, improving service speed and satisfaction. This initiative underscores O2’s focus on customer‑centric innovation in retail environments.",1,VMO2,medium,deployment,"chatbot,NLP,automation","Enhanced in‑store customer interactions, reducing wait times and boosting satisfaction scores."
big_firm_manual,2024-11-01 00:00:00,Virgin Media O2 partners with Perplexity for AI search access - CO/AI,,customer_support_experience,0.95,customer_support_experience,positive,1,ai,1,ai,0,"Virgin Media O2 has partnered with Perplexity to offer AI search as an add-on service. The solution leverages large language models and natural language processing to deliver instant answers to user queries, improving customer engagement. This initiative opens a new monetization channel while enhancing the customer experience.",1,VMO2,medium,deployment,"LLM,NLP,generative AI,AI search,chatbot","Provides customers with AI-powered search capabilities, enhancing user experience and creating a new revenue stream through add-on subscriptions."
big_firm_manual,2024-11-01 00:00:00,O2 deploys AI granny against scammers • The Register,,security_fraud_threat,0.95,security_fraud_threat,positive,1,ai,1,ai,0,"O2 has introduced an AI‑driven virtual assistant—dubbed the “AI granny”—to identify and block scam attempts. The chatbot uses natural language processing and large language models to recognize fraudulent patterns and engage potential scammers, thereby safeguarding customers. This initiative enhances security and customer confidence while demonstrating O2’s commitment to proactive fraud prevention.",1,VMO2,medium,deployment,"chatbot,NLP,LLM","By deploying an AI‑powered virtual assistant to detect and deter scammers, O2 aims to reduce fraud incidents, protect customer funds, and strengthen brand trust."
big_firm_manual,2024-02-01 00:00:00,VMO2 fights spam with Hiya roll-out AI spam fighting tools - Capacity,,security_fraud_threat,0.95,security_fraud_threat,positive,1,ai,1,ai,0,"VMO2 has rolled out AI spam‑fighting tools in partnership with Hiya to detect and block unwanted calls. The system uses machine learning to identify spam patterns in real time, helping customers avoid nuisance calls. This initiative strengthens revenue protection and improves overall service quality.",1,VMO2,medium,deployment,"machine learning,spam detection,AI","VMO2's AI-powered spam detection reduces spam calls, protects revenue, and enhances customer experience."
big_firm_manual,2024-09-01 00:00:00,Virgin Media O2 works with EkkoSense to unlock data centre cooling energy savings worth over £1 million per year - Virgin Media O2,,predictive_maintenance_analytics,0.6,other,positive,0,,0,,0,"Virgin Media O2 partnered with EkkoSense to deploy AI‑driven predictive analytics for data centre cooling optimisation. The solution uses machine learning to forecast temperature and adjust cooling systems, unlocking significant energy savings. This initiative demonstrates a tangible operational benefit and a step toward more sustainable infrastructure.",1,VMO2,medium,deployment,"machine learning,predictive analytics,automation","Achieved over £1 million per year in data centre cooling energy savings, improving operational efficiency and reducing the carbon footprint."
big_firm_manual,2023-03-01 00:00:00,The MLOps Cookbook: how we optimised our Vertex AI Pipelines Environments at VMO2 for scale | by Digital at Virgin Media O2 | Medium,,internal_productivity_workforce,0.9,internal_productivity_workforce,positive,2,"ai,ml",2,"ai,ml",0,"Virgin Media O2 (VMO2) refined its Vertex AI Pipelines environment to support large‑scale machine learning operations. By optimizing the MLOps workflow, the team accelerated model training, deployment, and monitoring, boosting internal productivity and enabling faster, more reliable AI solutions.",1,VMO2,medium,scaled,"MLOps,Vertex AI,pipelines,cloud,automation,machine learning","Enhanced internal ML development and deployment efficiency, reducing time-to-production and scaling model workloads across the organization."
big_firm_manual,2025-10-01 00:00:00,Inside Virgin Media O2’s AI Strategy for the Network of the Future,,predictive_maintenance_analytics,0.8,predictive_maintenance_analytics,positive,1,ai,1,ai,0,"Virgin Media O2 is deploying AI‑driven predictive maintenance to monitor network health and anticipate failures. By automating anomaly detection and root‑cause analysis, the company aims to keep the network running smoothly and reduce outages. This initiative is a key part of its strategy to build a resilient, future‑ready network.",1,VMO2,high,deployment,"machine learning,predictive analytics,automation,anomaly detection","Enables proactive network maintenance, reducing downtime and improving service reliability."
big_firm_manual,2024-10-01 00:00:00,How Vodafone is using AI to shape the next generation of customer service,,customer_support_experience,0.95,customer_support_experience,positive,1,ai,1,ai,0,"Vodafone is deploying AI-powered chatbots and virtual assistants that use natural language processing to handle customer queries. The solution automates routine support tasks, reduces response times, and frees human agents for more complex issues. This initiative positions Vodafone as a leader in next‑generation customer experience within the telecom sector.",1,Vodafone,high,deployment,"chatbot,NLP,virtual assistant,automation","Enhanced customer service efficiency and satisfaction by automating routine inquiries and providing faster, personalized support."
big_firm_manual,2024-11-01 00:00:00,How Vodafone is using gen AI to enhance network lifecycle | Google Cloud Blog,,network_optimization_performance,0.8,network_optimization_performance,positive,1,ai,1,ai,0,"Vodafone is deploying generative AI, powered by large language models, to automate and enhance its network lifecycle. The technology generates network design recommendations, optimizes performance settings, and streamlines operations, leading to quicker deployments and higher network reliability.",1,Vodafone,high,deployment,"generative AI,LLM,machine learning,automation","Enables faster, more accurate network configuration and optimization, reducing manual effort and improving overall network performance and reliability."
big_firm_manual,2025-06-01 00:00:00,https://www.fierce-network.com/modernization/bt-vodafone-execs-talk-about-training-their-employees-ai,,internal_productivity_workforce,0.95,internal_productivity_workforce,positive,1,ai,1,ai,0,"Vodafone and BT executives discuss AI training programs for employees, focusing on generative AI and large language models. The initiative aims to upskill staff, improve internal productivity, and foster a culture of AI-driven innovation. By equipping employees with AI tools, the companies expect higher operational efficiency and faster deployment of AI solutions.",1,Vodafone,medium,pilot,"LLM,generative AI,AI training,automation",Empowers staff with AI skills to increase efficiency and innovation across operations.
big_firm_manual,2017-06-01 00:00:00,Vodafone uses robots to screen jobhunters,,internal_productivity_workforce,0.9,internal_productivity_workforce,positive,0,,0,,0,"Vodafone is deploying AI-powered robots to screen jobhunters, automating the initial resume review and interview scheduling process. By leveraging machine learning to assess candidate suitability, the company aims to streamline recruitment workflows and cut hiring time. This initiative demonstrates Vodafone's commitment to enhancing internal workforce efficiency through AI.",1,Vodafone,medium,pilot,"automation,machine learning","Accelerated candidate screening, reducing recruitment cycle time and improving hiring quality."
big_firm_manual,2025-04-01 00:00:00,Vodafone forecasts ‘big bang’ as agentic AI starts to transform network ops | Technology | TelcoTitans.com,,network_optimization_performance,0.8,network_optimization_performance,positive,1,ai,1,ai,0,"Vodafone is deploying agentic AI to transform its network operations, allowing the system to autonomously adjust traffic flows and optimize performance in real time. By automating these decisions, the company aims to enhance service quality, reduce downtime, and cut operational expenses. This initiative positions Vodafone as a leader in AI-driven telecom network management.",1,Vodafone,high,deployment,"AI,machine learning,automation","Enabling autonomous network optimization is expected to reduce latency, improve service quality, and lower operational costs."
big_firm_manual,2024-09-01 00:00:00,How Vodafone plans to create AI-powered tech-comms powerhouse with Microsoft - Microsoft UK Stories,,internal_productivity_workforce,0.9,internal_productivity_workforce,positive,1,ai,1,ai,0,"Vodafone is partnering with Microsoft to deploy AI‑powered tools such as Copilot and Azure OpenAI to enhance internal productivity across its workforce. The initiative, demonstrated in a KPMG trial, automates routine tasks, improves knowledge management, and positions Vodafone as a tech‑communications powerhouse.",1,Vodafone,high,pilot,"generative AI,LLM,Microsoft Copilot,Azure OpenAI,automation","Boosts employee productivity, streamlines internal processes, and accelerates decision‑making, driving cost savings and faster innovation."
